llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
98760504,759893410,1638010731,3321452277,0,1122,0,1600
105801109,820695954,1839866532,3670369290,0,1122,3,1600
100853266,674434151,1456472079,3412484189,0,1122,4,1600
106529692,859108308,1856952336,3749648660,0,1122,5,1600
106725337,863657427,1873360251,3672726025,0,1122,5,1600
113756628,923589745,2025124388,3909065568,0,1122,5,1600
110424031,947232579,2080331397,3910347172,0,1122,5,1600
104893311,877301753,1908891688,3895311512,0,1122,5,1600
108827478,936029053,2033140993,3871714819,0,1122,6,1600
109973902,880894359,1948555403,3771443683,0,1122,6,1600
110711422,907123938,2365713717,3938117309,2,1122,6,1600
112778544,909623956,2162919355,3798077275,0,1122,5,1600
112088572,903747602,1947537807,3729242748,0,1122,5,1600
103903469,813809516,1935639535,3649666900,0,1122,5,1600
110837864,1095877519,2870653423,3946615864,0,1122,5,1600
77522161,898631454,2374479945,3560855999,0,1122,5,1600
96472578,1110561323,2922048730,3850457857,0,1122,5,1600
112177707,903439643,2070048326,3866958801,0,1122,5,1600
124745764,932896029,2148569667,3851489106,0,1122,5,1600
101260691,785920760,1752240316,3546538827,0,1122,5,1600
101523100,783130977,1709643991,3472919996,0,1122,6,1600
102136282,762736410,1675916008,3567727747,0,1122,6,1600
79837290,639772052,1441355120,2929414569,0,1122,6,1600
92719025,744257532,1714179828,3427509847,0,1122,5,1600
82089286,623581786,1461292659,3149365907,0,1122,5,1600
106773796,840270724,1922209405,3901926587,0,1122,5,1600
108942333,672334578,1517554306,3833249949,0,1122,5,1600
105616914,783226069,1721596207,3750463042,0,1122,6,1600
110792354,669236853,1459516169,3535002199,0,1122,6,1600
130047831,707665247,1525595647,3982657583,0,1122,6,1600
72027442,578664197,1383572570,2910549830,0,1122,6,1600
98064770,612481493,1379755952,3662026259,0,1122,6,1600
103258191,773692890,1767266897,3891299652,0,1122,6,1600
99286479,981209639,2508335779,3937459191,0,1122,6,1600
111618338,789606711,1757201508,3897499507,0,1122,6,1600
100333880,789796672,1746911045,3864732070,0,1122,6,1600
109274828,984400819,2221106895,3763790564,0,1122,6,1600
81968910,829009974,2131557729,3559086386,0,1122,6,1600
114039368,759654408,1632505676,3811872437,0,1122,6,1600
126861909,964156887,2266359864,3924269921,0,1122,6,1600
117744619,867268596,1970869528,3918569730,0,1122,6,1600
114632249,885402188,1998972400,3891000050,0,1122,6,1600
88661841,1040272934,2755190346,3200218227,0,1122,6,1600
39603056,900754038,2788696133,2205969440,0,1122,6,1600
34319112,887464226,2771760546,2070313643,0,1122,7,1600
41046896,861314427,2638810530,2200883002,0,1122,6,1600
70662891,917661332,2522180902,3007505198,0,1122,5,1600
34815447,886925638,2717123622,2061887702,0,1122,7,1600
33844577,891135713,2742827839,2059898312,0,1122,7,1600
34334335,888919276,2733719923,2055292638,0,1122,6,1600
101031294,946739481,2560315409,3553940818,0,1122,7,1600
44324591,973377970,2905177645,2435247988,0,1122,8,1600
35093957,888845040,2732804852,2058282952,37,1122,7,1600
33195664,888096322,2752979088,2038661743,0,1122,7,1600
71888256,893437339,2432372574,2928809867,0,1122,7,1600
32672555,879667658,2724199697,2011179601,0,1122,7,1600
35460073,893431511,2737067268,2073690886,0,1122,7,1600
34525159,896371173,2755215112,2052082581,0,1122,7,1600
68455718,999739990,2792948778,2780179569,0,1122,4,1600
33982963,886371693,2788288604,2030365264,0,1122,3,1600
36265656,891383885,2774435178,2053351399,0,1122,3,1600
35385697,890014174,2779608567,2055272454,0,1122,2,1600
48727852,836967811,2467466419,2280223242,0,1122,2,1600
3789507,44151200,108177321,181097679,0,1122,2,1600
