llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
17645098,127377458,271660304,591896702,0,1122,0,1600
19263648,167462252,364221049,658637069,0,1122,1,1600
21415584,155795617,334113082,744095545,0,1122,2,1600
20899173,164751691,367583616,674326110,0,1122,3,1600
22023820,165411269,359034178,656879517,0,1122,3,1600
25939191,252126379,553568019,773835151,0,1122,3,1600
24934096,204547267,462327653,768015534,0,1122,3,1600
22263995,171427499,387216861,729805469,0,1122,3,1600
20847492,157418464,358330668,660793175,0,1122,3,1600
19580360,151536820,341451946,631197382,0,1122,3,1600
22514462,178562110,393194991,737056817,0,1122,3,1600
23678566,151108503,321933692,652253354,0,1122,3,1600
26538163,185716269,386639112,792377612,0,1122,3,1600
23866209,161280998,340258586,774883623,0,1122,3,1600
18791366,139890927,307138748,681059842,0,1122,3,1600
21934858,181566247,392077680,790532550,0,1122,3,1600
21072062,171999779,367910081,756727160,0,1122,3,1600
18134541,195788846,419514476,695936204,0,1032,4,1600
19641696,186333144,407687921,739867833,0,1122,4,1600
21667114,181439088,386494414,776155942,0,1122,4,1600
24101583,191597929,426486003,770551085,0,1122,4,1600
20574571,179744098,392348563,768560961,0,1122,5,1600
22943364,185624893,409679571,778427545,0,1122,5,1600
20406948,183456211,397533537,750282008,0,1122,5,1600
20236596,173122237,376620011,759166182,0,1122,5,1600
22857291,174842043,373612714,754377906,0,1122,6,1600
24395433,152801966,344756888,779257353,0,1122,6,1600
24809419,159850378,341251669,766981224,0,1122,6,1600
21597223,139037129,294242793,702787576,0,1122,6,1600
25028722,169100320,384047504,767015692,0,1122,6,1600
19798754,219582827,485054461,754754420,0,1122,6,1600
20223279,174553657,416728961,763721877,0,1122,6,1600
19020786,179013042,439351524,783710070,0,1122,6,1600
22330526,178647876,391569479,764586530,0,1122,6,1600
23146230,187183539,409683353,795669117,0,1122,6,1600
22643208,206466710,461053501,790004396,0,1122,6,1600
19416944,209328453,443324401,758480178,0,1122,6,1600
25719420,171422369,362520474,780512854,0,1122,6,1600
21880257,193176882,434172286,791448936,0,1122,6,1600
21349622,175180572,376555654,732362588,2,1122,6,1600
21618300,204225789,443931687,759053909,0,1122,6,1600
23122112,199971817,435499106,772603017,2,1122,6,1600
22632740,170124346,380281310,768116025,0,1122,6,1600
22227528,172087246,384509900,783077904,0,1122,6,1600
22579239,167872331,364429733,780223866,0,1122,6,1600
22512333,164366119,358825630,738007364,0,1122,6,1600
22468911,177126228,386977253,766746507,0,1122,6,1600
24611274,204785780,457530813,783434274,0,1122,6,1600
25507169,219786225,488130954,792631430,0,1122,6,1600
17890302,198954188,416476331,733194232,0,1122,6,1600
23452270,186789438,417488510,789437058,0,1122,5,1600
21541467,200281332,436844609,757062620,0,1122,5,1600
5982704,163109262,622795125,691565607,0,1122,5,1600
16664805,158447844,463087214,719909588,0,1122,5,1600
20300630,127873280,295089242,709374991,0,1122,5,1600
20101765,187640149,508766712,787862696,0,1122,5,1600
25482969,189192704,449083276,801755433,0,1122,4,1600
37399418,259542239,572873811,801022095,0,1122,4,1600
20381117,184341378,419534893,802418439,0,1122,4,1600
20700549,191874504,439521778,793820055,0,1122,3,1600
24764950,229080809,485137881,791778245,0,1122,3,1600
27827391,177484856,425633817,743697042,0,1122,3,1600
24616776,193211283,431297869,804727694,0,1122,3,1600
31259331,182120515,427645396,805418943,0,1122,3,1600
25156685,267693202,595319732,805728406,0,1122,3,1600
18849995,182249156,466266923,799041528,0,1122,3,1600
17794168,148685567,377387861,714663443,0,1122,3,1600
21112649,214120808,511710559,796968919,0,1122,4,1600
21115133,214584698,604525025,749364528,0,1122,4,1600
18584052,212446878,622846069,747904037,0,1122,4,1600
19783898,210925565,525678628,751218460,0,1122,5,1600
22126443,192622351,465109742,756036038,0,1122,5,1600
19566194,137435174,322453750,761701265,0,1122,5,1600
20341248,139911588,280598562,765281975,0,1032,5,1600
22877097,161244094,374677561,782704821,0,943,5,1600
25621537,186872549,398098399,729025438,0,943,6,1600
16878122,204157914,465762295,749803549,4,854,6,1600
10497667,204076348,501566966,730459420,0,765,6,1600
9182488,183504434,752572563,767209768,0,854,6,1600
18310976,170355133,412409457,737056411,0,765,6,1600
19723855,191033323,476567262,707305245,3,675,6,1600
19568480,251206116,731353318,780574809,0,675,6,1600
18590401,220031968,607957282,739403455,0,765,6,1600
21962007,220693597,521980824,784137905,0,854,6,1600
21851168,180360616,384733052,747053537,0,943,6,1600
21006374,174502472,364874006,729475768,0,854,6,1600
24301354,206246665,444258987,782647352,0,765,6,1600
21291161,218395654,542261174,753570454,0,854,6,1600
25921441,210249986,484438251,779178718,0,854,6,1600
23514493,210055408,471795300,786910200,0,943,6,1600
20433404,184161304,430739280,724546528,0,1032,6,1600
16161640,145882220,305445600,568657689,0,943,6,1600
20950759,144134074,314463722,667105395,0,854,6,1600
20504721,139339712,309139930,659306263,0,1122,6,1600
20226916,148813227,327615122,692489342,0,1122,6,1600
17395251,129323161,286709752,584819927,0,1122,5,1600
23893449,173331205,380492315,749578134,0,1122,4,1600
22720803,187783415,431766045,798510688,0,1122,4,1600
18900798,151156541,337936857,598116283,0,1122,4,1600
24371238,218244746,465618366,773785328,0,1122,3,1600
28695617,215804627,460240386,785781108,0,1122,3,1600
27693096,186772569,408426718,805405474,0,1122,3,1600
18173050,143743166,338912476,618725331,0,1122,3,1600
23350186,196159578,423696876,807760604,0,1122,3,1600
19010492,169573828,388053230,667307214,0,854,3,1600
14767848,117229765,274048494,495228866,0,854,3,1600
15829457,113502039,254530177,554963557,0,854,3,1600
20309648,147152849,332612636,655156840,0,854,3,1600
11407217,94866596,211358618,426950771,0,854,4,1600
13100411,132120497,356142788,584088998,0,854,4,1600
15418456,123413417,278248024,580289964,0,854,4,1600
22003537,148985144,318988402,717040436,0,854,4,1600
20956690,153910099,352388066,748187917,0,854,4,1600
14322856,123716515,294171886,575642091,0,854,4,1600
13648484,123795454,294694443,543004419,0,854,4,1600
20561993,167154547,372177812,761464887,0,854,4,1600
19605171,158893892,361954125,652985387,0,854,4,1600
13299716,113696465,282794978,485100198,0,854,4,1600
22878394,143894806,338954741,783149309,0,854,4,1600
20540666,149248665,331887832,803284282,0,765,4,1600
20979106,171288884,412252026,798488277,0,675,4,1600
29602933,210503317,476938526,803981040,5,765,4,1600
25170393,217923062,462979824,796788161,0,854,4,1600
18819982,172602839,419816798,751485621,0,943,4,1600
18592849,103292776,229267787,555480706,0,1032,3,1600
30746498,174952686,372609981,790152467,0,943,3,1600
17244430,168928099,422061039,662123256,0,1032,3,1600
15758557,128210713,302687682,540788819,0,1032,3,1600
24295162,156482698,336928783,729139873,0,1032,3,1600
24780949,144433327,313255925,723043056,0,943,3,1600
31841965,174731560,388386850,743990209,0,854,3,1600
27267672,177310393,385509947,756358723,0,943,3,1600
25080873,141484284,310170112,736107363,0,1032,3,1600
19823281,133968228,302280677,652263760,0,943,3,1600
28531346,141140771,306390205,798394438,0,854,3,1600
28862507,154034093,321986624,799935073,0,765,3,1600
28361264,145521551,293394144,795960733,0,765,3,1600
32202672,149774960,334855683,804683395,0,675,3,1600
20978961,189847618,429322592,807213276,0,586,3,1600
15372783,131226685,320089209,554482587,0,675,3,1600
14887196,120996330,287626262,532796158,0,586,3,1600
15509803,126217515,302062417,565622682,0,497,3,1600
14426327,120976270,290743260,530230251,0,408,3,1600
22697254,133813540,298391082,676203008,0,318,3,1600
27726163,166036914,359297501,801909995,0,229,3,1600
14932310,109025020,260324974,512625833,0,140,3,1600
14027430,101913393,248864566,479571636,0,140,3,1600
16805882,129285301,298518552,576463373,0,140,3,1600
15636377,124844213,289929481,541867965,0,140,3,1600
19265997,151958429,344965676,641941519,0,140,3,1600
20471320,231686114,563645019,803711294,0,140,3,1600
18813511,186395984,488549341,733268530,0,140,3,1600
21215894,195781308,449335315,727549214,0,229,3,1600
21398861,157182832,348813487,675261143,0,318,3,1600
21188708,163545442,357257720,679922935,0,229,3,1600
26215254,163872016,355822781,792751639,0,140,3,1600
21635545,163368638,365819196,702269778,0,140,3,1600
20782950,162916246,350778718,666598763,0,140,3,1600
18866749,129527882,281799717,601306911,0,140,3,1600
18293354,130807668,288254906,598599673,0,140,3,1600
22988214,160330442,352403991,695828215,0,140,3,1600
20838874,192897074,405172653,732469122,0,140,3,1600
38991550,213446243,463237001,796662282,0,229,3,1600
24176613,177048485,387425089,772093193,0,318,3,1600
35476612,232013024,584627304,804487475,0,408,3,1600
26531132,182964719,425309090,782698857,0,497,3,1600
26060283,182070383,387149621,764423397,0,497,3,1600
24931498,228802550,524526409,774305222,0,586,3,1600
8997613,115091820,537619530,639306855,0,675,3,1600
26914329,183763383,397944803,786825942,0,586,3,1600
