llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
19561179,154700566,326476678,653793531,0,1122,1,1600
18198108,139795260,304763640,606139398,0,1122,1,1600
21132227,175672002,384028886,758018765,0,1122,1,1600
20799505,164028678,361780176,751077934,0,1122,2,1600
18584403,132816790,294811966,631841804,0,1122,3,1600
23972084,198998128,431536525,785290830,0,1122,3,1600
20907185,182827282,409110222,777285440,0,1122,3,1600
21741722,170555544,365597519,773335624,0,1122,3,1600
19013589,147066639,328877320,687645957,0,1122,4,1600
18464640,136931978,309259462,670082997,0,1122,4,1600
19330673,143607128,327489465,706771397,0,1122,4,1600
18516293,150110990,328135838,690575755,0,1122,5,1600
19199100,151176288,335083980,687555943,0,1122,5,1600
22308271,138540429,291035369,703084977,0,1122,5,1600
22523863,139120230,286492596,746005261,0,1122,5,1600
23002897,159395292,334026870,777721282,0,1122,5,1600
19666815,142079869,310549550,714357881,0,1122,5,1600
21394388,165745837,350237171,751871132,0,1122,5,1600
19807109,180593749,398589093,747444279,0,1122,6,1600
21414388,216924695,471514334,764177729,0,1122,6,1600
21870144,180864796,390210152,803918274,0,1122,6,1600
24590327,209529253,454097408,802873747,0,1122,6,1600
22490183,189460402,414489733,793958217,0,1122,6,1600
23188185,189150908,407699711,798541230,0,1122,6,1600
22162335,195904625,434446325,763689289,0,1122,6,1600
21168692,190577229,410849352,783700983,0,1122,6,1600
23634621,187331917,390222192,801512287,4,1122,6,1600
22058215,193897783,432453770,803657569,0,1122,6,1600
24656068,162263177,365083034,802067998,4,1122,6,1600
25871360,160362007,339521927,771054765,0,1122,6,1600
23616533,169557464,375222189,807173689,0,1122,6,1600
26109779,233129187,500552810,804806448,0,1122,6,1600
19130730,182408658,438006199,780893239,0,1122,6,1600
20785350,181850294,427466568,801409895,0,1122,6,1600
21772682,176657963,386752248,760350663,0,1122,6,1600
21271697,179543187,397236851,784440816,0,1122,6,1600
23612922,178864438,392945438,793308767,0,1122,6,1600
19987890,163603570,348431160,794429762,0,1122,6,1600
23172077,191673880,413712948,785345007,0,1122,6,1600
21855887,187689894,413418719,806735075,0,1122,6,1600
22225224,188388048,421899002,807574811,0,1122,6,1600
26244604,160090293,341462034,797817870,0,1122,6,1600
20927120,207793295,478349429,801640036,0,1122,6,1600
20992784,199994765,412636457,790505705,0,1122,6,1600
22835871,182610937,411007771,805348631,0,1122,6,1600
21594413,171865467,382407757,758988964,0,1122,6,1600
22405029,158394161,341833696,781390282,0,1122,6,1600
24837466,183447750,405217768,802451720,0,1122,6,1600
21578314,176915964,387232948,803423686,0,1122,6,1600
25279978,216302501,482166025,806246703,0,1122,6,1600
22177212,196338398,427017648,757966772,0,1122,6,1600
25122900,136475446,311799067,772295164,0,1122,6,1600
28736899,166671385,428479808,804608036,0,1122,6,1600
25173635,198005353,439965386,807559738,0,1122,6,1600
5681630,154326418,658242267,712504770,0,1122,6,1600
23483249,151359212,392700968,751086322,0,1122,6,1600
26764616,159949172,378619508,802337398,0,1122,6,1600
21189622,238386194,603442745,795062485,0,1122,6,1600
18775935,167181773,411836544,795898295,0,1122,6,1600
22156799,202992252,469772290,784808111,0,1122,6,1600
21322292,171589548,372028611,755671644,0,1122,6,1600
20994193,171665438,361927442,746503521,0,1122,6,1600
24319227,204582398,420371804,803834619,0,1122,6,1600
22538275,167290221,376320381,732506473,0,1122,6,1600
27538255,195942578,457198892,796471296,0,1122,6,1600
20038135,169728614,391718914,711119262,0,1122,6,1600
16083015,120601216,263298866,537030032,0,1122,6,1600
16661196,135679335,299773173,588667527,0,1122,6,1600
19875702,174686102,399535585,688158664,0,1122,6,1600
19925700,169506181,394107857,677512577,0,1122,6,1600
22585802,181879489,423897589,764478602,0,1122,6,1600
20936174,220270387,552502822,771000665,0,1122,6,1600
13563487,184211631,621171223,756368022,0,1122,6,1600
14923979,247948996,735481500,798722699,4,1122,6,1600
18521790,228291728,759900523,801018923,0,1122,6,1600
19165817,217102004,580738140,800503124,4,1122,6,1600
13309836,184944024,639930542,738067985,0,1122,6,1600
19427251,225090218,583950107,793685752,0,1122,6,1600
26911808,201460179,427599910,795354934,0,1122,6,1600
17781679,190816609,479249028,789734339,0,1122,6,1600
20069355,173729583,386593894,783827945,0,1122,6,1600
20481895,165052949,349935518,705101374,0,1122,6,1600
21248919,146605161,322022518,745449558,0,1122,6,1600
23278585,153216928,362334164,790240047,0,1122,6,1600
25859675,194388922,439198970,805166173,0,1122,6,1600
28884428,136169797,310691243,803207373,0,1122,6,1600
24597571,247462526,530979022,787004652,0,1122,6,1600
16613140,208402078,581549962,800231701,0,1122,6,1600
18620134,172352305,409034195,778517813,0,1122,6,1600
21349076,192612255,426679948,805253296,0,1122,6,1600
16382544,161383931,382541156,658179607,0,1122,6,1600
22766168,166741352,379233748,758602101,0,1122,6,1600
17723597,197656901,470738430,657990048,0,1122,6,1600
20462052,214967395,577784239,792025154,0,1122,6,1600
22462783,206951227,517785274,785222462,0,1122,6,1600
17503194,230008288,630040888,770463793,0,1122,6,1600
21628511,183092233,395929508,769116113,0,1122,6,1600
14359347,203757265,437238119,678427580,0,1122,6,1600
21855411,176581064,359588868,772304292,0,1122,6,1600
