llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
18230250,134842668,287704561,614145288,0,1122,0,1600
18775120,166071779,361148377,652975234,0,1122,1,1600
21934610,162909502,354816013,770496426,0,1122,2,1600
17277514,120764619,270934799,592204769,0,1122,3,1600
20644546,136687309,290492928,673120838,0,1122,3,1600
23362929,218952501,493742668,784464221,0,1122,3,1600
21325895,163911208,346970351,768130885,0,1122,3,1600
20688295,165500637,366158144,750913244,0,1122,4,1600
16802983,109467491,246424524,582556649,0,1122,4,1600
19307142,141983118,322784822,682483412,0,1122,4,1600
18441221,136195042,300890958,661248097,0,1122,5,1600
21018910,171769489,376418753,794756851,0,1122,5,1600
19643408,120856869,259613829,639555587,0,1122,5,1600
21719090,127833044,260456447,699500666,0,1122,5,1600
22912971,150770659,318229326,774215882,0,1122,5,1600
22385872,154906589,328582071,773966121,0,1122,5,1600
21442834,170591943,369443360,798368678,0,1122,5,1600
21203230,182655008,404135811,796024043,0,1122,5,1600
21099014,194827482,412226415,730680595,0,1122,5,1600
22537352,196438117,420329236,799349708,0,1122,5,1600
22290120,193097370,419920432,801364240,0,1122,5,1600
24142838,190202542,413335953,785203115,0,1122,5,1600
22188369,181326982,393657122,798282776,0,1122,5,1600
22146599,183740983,418317252,772461619,0,1122,5,1600
19342011,178951910,380055661,740756584,0,1122,5,1600
21570813,194633417,431696430,796679394,0,1122,5,1600
23693021,186355794,401341323,787615627,0,1122,5,1600
25259856,156875076,355247606,801812620,0,1122,5,1600
25253862,163588322,352389145,772245332,0,1122,5,1600
23532061,169136546,376781043,798802027,0,1122,5,1600
25587492,213976922,472907472,804592669,4,1122,5,1600
18080308,201241308,465440995,785131790,0,1122,5,1600
20349911,187196435,440142556,800314707,0,1122,5,1600
21813746,162424810,356559689,750212414,0,1122,5,1600
22274494,182050192,398169706,800620352,0,1122,5,1600
21272954,192162632,435028379,796059216,0,1122,5,1600
22879060,182424898,394288591,791643529,0,1122,5,1600
21072047,174292252,380016490,780860242,0,1122,5,1600
21027706,187263495,406078668,758464215,0,1122,5,1600
21726878,181969444,393779709,800227195,0,1122,5,1600
22208223,178974588,379512602,785094077,0,1122,6,1600
21427939,204150603,448494181,797981281,0,1122,6,1600
25771895,192706994,432079279,792364006,0,1122,6,1600
21411762,213945415,453494723,782863594,0,1122,6,1600
22377529,163551288,366121214,779075848,0,1122,6,1600
20725684,169875582,379938875,785644021,0,1122,6,1600
23065773,156700551,334351974,765399948,0,1122,6,1600
38248138,159083780,375355203,787686666,0,1122,6,1600
45511713,153241070,346343705,786523154,0,1122,6,1600
20981828,175312725,398408696,799089639,0,1122,6,1600
24997571,152330201,340161524,782576511,0,1122,6,1600
27371924,219544125,476087089,792709365,0,1122,6,1600
22829395,182037916,437817716,799097511,0,1122,6,1600
8765555,185680215,537209897,670598825,0,1122,6,1600
12411445,169030949,618702624,771184387,0,1122,6,1600
22148820,182353649,404689336,782609966,0,1122,6,1600
22116313,184227114,418580768,791938158,0,1122,6,1600
19864895,209373253,541704223,801610260,0,1122,6,1600
27112758,190916555,463614548,796925822,0,1122,5,1600
23523521,161827089,355186935,703082144,0,1122,5,1600
21226362,161099255,333997887,712467596,0,1122,5,1600
24485852,200419994,418063133,791143974,0,1122,5,1600
23834878,144160214,330090006,786236264,0,1122,5,1600
27299416,169544671,389373189,794408928,0,1122,5,1600
22130039,168585317,396729043,799298577,0,1122,5,1600
29104653,194903008,413984497,794089278,0,1122,5,1600
17925179,188306086,451834919,794265426,0,1122,5,1600
19168345,179839621,452827085,798681896,0,1122,5,1600
20785402,162422776,379329691,754080772,0,1122,5,1600
20382796,193914147,463348820,778877740,0,1122,5,1600
17859487,206370760,554099756,780970095,0,1122,5,1600
26807210,202748679,564563777,792490395,0,1122,5,1600
22742018,278747987,699100129,793494696,0,1122,5,1600
18379657,182091022,450339290,801302216,2,1122,5,1600
21365819,186139491,445360040,791193926,0,1122,5,1600
21863149,176648592,371310071,791952289,0,1122,5,1600
22252556,165802967,371678647,802831355,0,1122,5,1600
18516730,198892450,473873123,807741546,2,1122,5,1600
10546970,198566739,476190349,678221217,0,1122,5,1600
5940753,170940277,855825691,760041294,0,1122,5,1600
19883883,168722981,387401074,747172289,0,1122,5,1600
20611296,201308091,488902277,782188320,0,1122,5,1600
19805226,252139478,710213091,790915640,0,1122,5,1600
18666764,239626300,673138041,789932518,0,1122,5,1600
20399860,216148320,509382484,767512138,0,1122,5,1600
22500117,173899994,356736266,760537695,0,1122,5,1600
22066524,175369108,363888088,774736346,0,1122,5,1600
22402701,179873788,392447480,776638431,0,1122,5,1600
23029704,201360483,452779514,782760288,0,1122,5,1600
25783615,199808414,465915725,780880582,0,1122,5,1600
20193402,173933780,398843409,731463525,0,1122,5,1600
14980900,110880783,242897216,505975741,0,1122,5,1600
17240997,139440754,305992594,612115361,0,1122,5,1600
17822024,146097498,336257743,636173439,0,1122,5,1600
18924724,160726464,370102379,663839779,0,1122,5,1600
22524954,171815652,387144649,722787107,0,1122,5,1600
19605266,209955824,524198338,736840564,0,1122,5,1600
14438836,182752198,642178565,749593214,0,1122,5,1600
14511534,216161747,603906080,766911775,0,1122,5,1600
17996192,241049239,769497140,779472484,0,1122,5,1600
18763526,240582031,657817278,781848171,0,1122,5,1600
18726715,236053242,575345773,769040615,0,1122,5,1600
14475395,192118451,645469029,751639799,0,1122,5,1600
21353697,186866953,394064882,766228357,0,1122,5,1600
22095878,181416212,375804394,770957956,0,1122,5,1600
20928161,173395506,361645458,753067320,0,1122,5,1600
19718863,171629698,369605454,718559315,0,1122,5,1600
19213912,134793513,297130374,702732693,0,1122,5,1600
23358528,166536101,390108700,775522657,0,1122,5,1600
22002102,144744465,317351402,779319419,0,1122,5,1600
20653809,167298708,394956690,766562241,0,1122,5,1600
28618600,227955559,461260549,787843088,0,1122,5,1600
19369023,185118188,468649332,786112058,0,1122,5,1600
21662362,192044335,448482729,773598356,0,1122,5,1600
22444531,180987280,425604367,778932655,0,1122,5,1600
18609920,223678313,470246574,777932091,0,1122,5,1600
28464083,161755118,340214068,779539243,0,1122,5,1600
24676115,193842599,415858262,797752782,0,1122,5,1600
20086872,168041120,397669673,781416069,0,1122,5,1600
22551880,181463917,393615272,775472536,0,1122,5,1600
19537918,147406583,322561322,668183989,4,1122,5,1600
20227930,152484029,343238535,648593421,0,1122,5,1600
19049179,133754860,297858340,649862283,0,1122,5,1600
21818122,170308124,367414627,805642000,0,1122,5,1600
