llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
16586839,120132624,255179504,548338197,0,1122,1,1600
17502387,140384962,302176744,602141868,2,1122,1,1600
18992113,149796390,323196867,668529087,0,1122,2,1600
18627198,144413981,319431515,689138747,2,1122,2,1600
17300081,120396827,272964758,595896771,0,1122,3,1600
23015888,162709177,340145786,725163980,0,1122,3,1600
19107909,188427507,443788328,744362152,0,1122,4,1600
21955291,158580536,335677686,770793029,0,1122,4,1600
20994094,169521474,377490803,783165200,0,1122,4,1600
15548700,118282003,273879113,591529782,2,1122,4,1600
17974678,124016891,280652607,633951736,0,1122,4,1600
18459223,129794256,293127866,657551717,0,1122,5,1600
19637779,167153855,359390055,732691074,0,1122,5,1600
18484012,138234756,310220625,689321420,0,1122,5,1600
21777412,125924500,259764509,686852836,0,1122,5,1600
23237513,155931487,318665276,788420652,0,1122,5,1600
22909828,142410751,299585666,755555567,0,1122,5,1600
18004893,133944612,295824695,670492014,0,1122,5,1600
21128452,169705731,363132874,758546531,0,1122,5,1600
18848275,162168961,351866355,701580379,0,1122,5,1600
19910484,211868243,453676359,755946638,0,1122,5,1600
21305403,187513827,405224561,777936716,0,1122,5,1600
22545641,187855191,403175515,768547239,0,1122,5,1600
21504689,183142784,404004967,752612322,0,1122,5,1600
20175015,166672630,358954113,719045237,0,1122,5,1600
23053848,185582973,410977948,770708418,0,1122,5,1600
19537730,190809963,415170184,769116831,0,1122,5,1600
20524734,167573255,355930514,717489624,0,1122,5,1600
22765686,155907199,348762224,756661643,0,1122,5,1600
25033937,153823639,331505659,741764308,0,1122,5,1600
24045593,157848138,337886152,748054186,0,1122,5,1600
24441155,171671939,383240730,770247381,0,1122,5,1600
20613510,198003718,443202604,763403669,0,1122,5,1600
17219444,186130202,430912999,757775657,0,1122,6,1600
18548700,170013834,409298984,754009375,0,1122,6,1600
19887393,166891551,378610530,733709252,0,1122,6,1600
21195819,161929082,350158172,771159851,0,1122,6,1600
20109922,174667892,399470969,742900754,0,1122,6,1600
21390763,181484080,393661491,763242027,0,1122,6,1600
20875719,170231898,367944016,773936946,0,1122,6,1600
18242035,194050523,414724851,737381006,0,1122,6,1600
20588742,182289301,395017625,774366844,0,1122,6,1600
20732621,171161813,370352339,763457668,0,1122,6,1600
21262936,193580191,419058402,781184410,0,1122,6,1600
21465933,209389290,477692332,767411314,0,1122,6,1600
24057226,163411239,349582506,726285119,0,1122,6,1600
21689432,163214979,368727172,763484735,0,1122,6,1600
21306498,165019357,367441269,777046643,0,1122,6,1600
21346953,148896540,324204060,740096896,4,1122,6,1600
21817503,162522043,350699046,750322970,0,1122,6,1600
21336045,161147872,349448705,764714967,4,1122,6,1600
23040676,194424977,443223823,766530178,0,1122,6,1600
23650989,181079209,401802411,769175961,0,1122,6,1600
19043204,169578695,354126062,734449896,0,1122,6,1600
19367590,191667578,414062126,728472929,0,1122,6,1600
