llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
18448015,137804556,294265220,618758579,4,1122,0,1600
18940729,166332136,362616261,656092595,0,1122,1,1600
20677085,154348985,337064948,726872604,0,1122,2,1600
18150809,129336688,292787281,625777485,0,1122,2,1600
21773016,152973696,324280084,705386010,0,1122,2,1600
22371698,210886504,492854183,778458833,0,1122,3,1600
21647917,164051653,356260806,733861389,0,1122,3,1600
20725024,154608388,345525585,752295865,0,1122,4,1600
16452932,118443077,267519437,583579374,0,1122,4,1600
19327831,138292578,312255348,670886476,0,1122,4,1600
18685096,135670645,298991720,667528330,0,1122,4,1600
19316015,150601272,334985984,712761236,0,1122,4,1600
20812197,121672181,254780172,649409691,0,1122,4,1600
21122822,152556252,325509349,735235156,0,1122,4,1600
21382303,126764135,257671880,689188902,0,1122,5,1600
19539247,137444680,301245495,708293535,0,1122,5,1600
21613390,178576354,383896462,785537659,0,1122,5,1600
20126130,169306610,366653330,751776121,0,1122,5,1600
19027970,200756194,430260381,707553827,0,1122,5,1600
21400690,190038648,413936951,793995783,0,1122,5,1600
22734614,187784523,396459578,794874858,0,1122,5,1600
22494095,194137824,435273298,784962893,0,1122,5,1600
21760786,189870247,409139948,784236824,0,1122,5,1600
20212933,188854034,417926799,727335803,0,1122,5,1600
21516355,185590393,401493521,762487628,0,1122,5,1600
21069931,181638598,393623053,777063608,0,1122,5,1600
23325217,186284717,395509027,769579303,0,1122,5,1600
23886991,156193632,348123740,782343344,0,1122,5,1600
25350805,165046083,346078275,776375940,0,1122,5,1600
23312477,163769157,358352391,761151223,0,1122,5,1600
25826126,203607129,441366366,776130900,0,1122,5,1600
17848546,196712305,448795072,777702569,0,1122,5,1600
18550938,171403202,413810076,769856086,0,1122,6,1600
21959308,181462045,393553289,782090173,0,1122,6,1600
20494705,173837550,382842344,758672013,0,1122,6,1600
22626814,174479306,382534565,792195478,4,1122,6,1600
