llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
12008516,87951813,186210785,407119077,0,1122,0,1600
12681459,102583886,223137924,440146508,0,1122,1,1600
14410126,113441899,245880242,518737844,0,1122,2,1600
16428423,123833479,275334280,596047846,0,1122,2,1600
14580614,99791858,227488992,504751315,0,1122,2,1600
18126370,128339360,264327916,558475761,0,1122,3,1600
16810260,164959051,390756431,654352473,0,1122,3,1600
16061989,121347726,257467871,569133125,0,1122,4,1600
15184503,109497864,249393588,564289872,0,1122,4,1600
15256543,109903551,253913080,547958178,0,1122,4,1600
14418207,96229760,224908548,515975234,0,1122,4,1600
15372687,114701549,253825887,561763588,0,1122,4,1600
14589583,106946989,242902908,535923816,0,1122,4,1600
16138660,89441458,188474312,509811172,0,1122,4,1600
18465163,110705668,227288298,613717354,0,1122,5,1600
15565507,102704943,218265386,547887845,0,1122,5,1600
17959144,130383697,286725751,665022386,0,1122,5,1600
17478136,134186652,283880349,636207233,0,1122,5,1600
16337559,136995620,296809538,616534221,0,1122,5,1600
15137251,104328006,228978169,545740812,0,1122,5,1600
14372865,113720535,257330861,537918483,0,1122,5,1600
16953350,118594012,264681833,633383728,0,1122,5,1600
18904846,140001602,349767557,640631980,0,1122,5,1600
24431616,161532603,354579751,633287724,0,1122,5,1600
20178444,190946688,422909363,661938963,0,1122,5,1600
15517920,187490851,460792457,703241886,0,1122,5,1600
16697668,164228973,387500215,633491088,0,1122,5,1600
19778279,171239008,398994465,701186860,0,1122,5,1600
17115683,161378918,379911410,644748312,0,1122,5,1600
18155992,153090281,340583596,633739343,0,1122,5,1600
17133482,168013207,385037077,662335179,0,1122,5,1600
17241078,163265337,358765515,659226335,0,1122,5,1600
18242300,147571773,338612303,671508524,0,1122,6,1600
17229602,160041799,350286713,644217897,0,1122,6,1600
18463395,132999988,303305648,628873300,0,1122,6,1600
16614501,163216579,367532817,615317983,4,1122,6,1600
17395236,156009864,361723095,692370778,0,1122,6,1600
17482449,159388039,361253947,677303643,0,1122,6,1600
17193313,155393306,330112644,637732367,0,1122,6,1600
19427333,164232019,343377782,730325916,0,1122,6,1600
17666447,155936776,335975026,657039570,0,1122,6,1600
15996961,139938843,305124136,611978773,0,1122,6,1600
17203897,136757804,284656010,647178319,0,1122,6,1600
15657462,146949937,319269221,618055528,0,1122,6,1600
18265826,144411543,338395717,615030094,0,1122,6,1600
17797762,177350253,397730347,672252419,0,1122,6,1600
17135619,137284228,322524674,666137971,0,1122,6,1600
18126481,150827540,335175005,686047595,0,1122,6,1600
17852812,128468572,277224600,608632749,0,1122,6,1600
17005626,135749073,294924241,604553652,0,1122,6,1600
16951203,130309881,286723995,602820527,0,1122,6,1600
18872357,174361117,398178361,635049221,0,1122,6,1600
15979964,121426534,250275919,563339222,0,1122,6,1600
20854138,157046465,355996988,637063029,0,1122,6,1600
13562305,120758301,276779716,469016618,0,1122,6,1600
5546843,139468715,458945172,552145891,0,1122,5,1600
11848622,154848873,578460994,690459367,0,1122,5,1600
16172218,123683512,291660291,544576284,0,1122,5,1600
13706196,161795991,454556979,566266260,0,1122,5,1600
16780720,137987405,304216961,588781240,0,1122,5,1600
21615424,150408000,365285649,625796755,0,1122,5,1600
15259390,115300994,263419923,530382946,0,1122,5,1600
13250087,102047731,211721337,482069175,0,1122,5,1600
17373666,146246051,294518080,580978337,0,1122,5,1600
15507912,107359820,233737558,520898933,0,1122,5,1600
22482863,170605857,397573319,715869990,0,1122,5,1600
19196124,165337181,366206559,661882941,0,1122,5,1600
16690640,144396248,320017306,636121634,0,1122,5,1600
16167842,145737711,341157582,601398981,0,1122,5,1600
14987651,138863787,341313059,587690112,0,1122,5,1600
13379285,100182200,252818728,448559722,0,1122,5,1600
13859540,179385827,434614911,578212819,0,1122,5,1600
17133094,213147014,584515987,706086575,0,1122,5,1600
14189945,179201213,484492105,619255730,0,1122,5,1600
16870828,138902283,304871669,568879814,0,1122,5,1600
15862253,133733347,285440149,593857951,0,1122,5,1600
15937900,121048692,253831676,568015013,0,1122,5,1600
17443938,145387172,323827791,664309406,0,1122,5,1600
14304944,141002467,342067730,587493549,0,1122,5,1600
10228341,174664340,402874249,557847626,0,1122,5,1600
5345418,133220831,491064443,553301243,0,1122,5,1600
12264137,165771167,627645860,699953096,0,1122,5,1600
17407305,152784319,374061316,665324330,0,1122,5,1600
14925710,170633237,444441064,586190806,0,1122,5,1600
16900984,211643336,582541241,694170689,4,1122,5,1600
13317623,176194809,472262896,598270814,0,1122,5,1600
16463454,143715704,312866973,578237760,0,1122,5,1600
15153833,123594145,257249237,554207671,0,1122,5,1600
15524292,132702400,275973775,590290980,0,1122,5,1600
19727802,129236534,294825439,566326261,0,1122,5,1600
18562671,169418850,379870801,619110993,0,1122,5,1600
21736264,194672961,444090961,731798871,0,1122,5,1600
18690691,168455342,382522631,664344211,0,1122,5,1600
16788348,131361403,288607266,575901855,0,1122,5,1600
17056597,140462515,310279424,610377448,0,1122,5,1600
16873634,145543554,333467100,598957051,0,1122,5,1600
19304841,157201445,362296932,660774471,0,1122,5,1600
21420754,163208691,367088329,700141077,0,1122,5,1600
18294850,172393506,415007882,638068278,0,1122,5,1600
18220115,183920932,447451112,726336810,0,1122,5,1600
17889100,223923432,718517350,723562302,0,1122,5,1600
12548829,206792798,678832902,752695297,0,1122,5,1600
21111823,203373074,646199478,754521876,0,1122,5,1600
16323161,183774039,478377583,752593765,0,1122,5,1600
14947482,178661516,601769863,767350476,0,1122,5,1600
18695727,209874898,549740026,730721468,0,1122,5,1600
26049457,193451796,407428809,794984234,0,1122,5,1600
17287469,188455722,479340002,782923856,0,1122,5,1600
19744716,170993965,378579437,774225953,0,1122,5,1600
22325663,175582388,361214088,780028779,0,1122,5,1600
14039490,111624720,250547079,494211561,0,1122,5,1600
18486118,145186785,313107519,734785910,0,1122,5,1600
20485038,199867981,457647724,715783588,0,1122,5,1600
18524938,105418882,230136300,576479921,0,1122,5,1600
14679373,126300031,315541567,608304821,0,1122,5,1600
14189571,129704944,285783107,615175657,0,1122,5,1600
24325604,146432901,364852418,702157763,0,1122,5,1600
34896588,182078605,394976789,734050782,0,1122,5,1600
