llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
17931922,136944400,289671599,598297125,0,1122,0,1600
19217374,164706302,359409790,653935580,0,1122,1,1600
20717634,152662728,333590486,710832355,0,1122,2,1600
19710719,143881391,321967721,685159213,0,1122,2,1600
21056361,153659163,326439726,707870195,0,1122,2,1600
22129816,221521073,508160897,793381114,0,1122,3,1600
22320385,171089524,361145489,759350260,0,1122,3,1600
20541839,152906840,338126471,732324177,0,1122,4,1600
17843920,125877465,285578644,631337819,0,1122,4,1600
19322525,139318617,314094154,668773314,0,1122,4,1600
17968593,132030036,292653317,640468877,0,1122,4,1600
20231522,151939057,334081179,725119741,0,1122,4,1600
19669139,124508385,266384234,639212870,0,1122,4,1600
22985292,137756095,284443109,732273721,0,1122,4,1600
23211747,151675904,316516063,782668370,0,1122,5,1600
22056363,153994762,333488571,771792686,0,1122,5,1600
22658881,169212832,355171679,785397772,0,1122,5,1600
19708166,162667646,355682027,745071418,0,1122,5,1600
21504225,225634649,495586993,775267707,0,1122,5,1600
21606682,168187073,358239124,783645953,0,1122,5,1600
23550366,205728346,446282223,793713926,0,1122,5,1600
22046077,195729615,431044500,790436226,0,1122,5,1600
21479826,196019864,424731108,787604985,0,1122,5,1600
23070017,203932274,456515027,793451741,0,1122,5,1600
21673713,200864638,431964093,779168190,0,1122,5,1600
21875271,186827493,411208546,799008069,0,1122,5,1600
23496070,189956481,401541148,797522471,4,1122,5,1600
22498606,182020523,385618363,802399056,0,1122,5,1600
22019965,181361265,396590888,804081955,4,1122,5,1600
24886624,164724730,357538785,797750174,0,1122,5,1600
23658275,192032188,418052816,804776096,0,1122,5,1600
20365144,215258439,486032129,795503836,0,1122,5,1600
21945218,195381413,415666259,801480968,0,1122,5,1600
22734817,183704967,395748501,805061759,0,1122,5,1600
22339036,196246090,424540400,806099251,0,1122,6,1600
22456758,193633708,410351766,806404818,0,1122,6,1600
19323569,213626121,445632716,787168507,0,1122,6,1600
21899479,198352692,415832676,805861216,0,1122,6,1600
20594146,182690621,391068185,787501163,0,1122,6,1600
20064960,208994345,469388692,783972215,0,1122,6,1600
23653843,193259368,431630392,758299758,0,1122,6,1600
24064535,174876520,370461631,774942931,0,1122,6,1600
21698900,170181292,381881216,786589078,0,1122,6,1600
21253911,156601559,339612910,728863043,0,1122,6,1600
23328356,163040938,351374126,772145032,0,1122,6,1600
22072903,175458159,381935734,744852838,0,1122,6,1600
21127555,163435014,352713885,743466854,0,1122,6,1600
26119735,196550254,457740277,783001261,0,1122,6,1600
20862968,159670879,337737499,706700400,0,1122,6,1600
19182640,208527467,443123268,759528971,0,1122,6,1600
18778976,131224171,300043750,615100537,0,1122,6,1600
17028939,204324972,449582268,772460726,0,1122,6,1600
4990468,135351631,615862910,634833777,0,1122,6,1600
17138312,143087518,368085176,639003995,0,1122,6,1600
20738434,124630031,289702561,731625137,0,1122,6,1600
19205822,180150431,493130721,800365368,0,1122,6,1600
24642128,161774894,372879584,803307924,0,1122,6,1600
34256277,215867374,473539642,803020246,0,1122,5,1600
21510252,189564622,418196919,805197039,0,1122,5,1600
18406191,164985766,388266638,800873046,0,1122,5,1600
23134134,182951239,372560195,785355290,0,1122,5,1600
22255114,152317855,342135607,803456129,0,1122,5,1600
22708977,157033898,350433568,801510069,0,1122,5,1600
27132646,180282053,426038691,807221008,0,1122,5,1600
25586574,219494274,438741746,800730309,0,1122,5,1600
17283000,179827132,451562641,808739349,0,1122,5,1600
19620206,195460325,455429754,806339664,0,1122,5,1600
20691481,161084732,382547602,710736858,2,1122,5,1600
20076929,206184487,455800907,709603163,0,1122,5,1600
18602524,197303462,534380260,780831910,2,1122,5,1600
19741593,208602550,576396336,791931813,0,1122,5,1600
27707089,184634933,474535075,790652647,0,1122,5,1600
24186838,261020250,613162288,787707618,0,1122,5,1600
17676502,182839527,466544581,787067073,2,1122,5,1600
19334121,166389522,387033843,775701425,0,1122,5,1600
21816699,174971812,372595887,780380449,0,1122,5,1600
20355461,165080905,373141698,774551839,0,1122,5,1600
17673593,205808616,481051433,782394152,0,1122,5,1600
8620235,177092400,470953352,638949464,0,1122,5,1600
6755337,166385606,850632964,777991174,0,1122,5,1600
20661270,174089261,409423029,778627711,0,1122,5,1600
20559858,217394930,527542588,786528135,0,1122,5,1600
19137858,243512613,689147592,790318455,0,1122,5,1600
19626477,247055615,694677834,798100553,0,1122,5,1600
22185965,238127666,564366362,791615036,0,1122,5,1600
21652616,176205326,371572042,727194163,0,1122,5,1600
21196734,171403171,355574611,783714343,0,1122,5,1600
22390807,172613729,360764133,776404639,0,1122,5,1600
27311026,202523728,469923090,791136099,0,1122,5,1600
26784611,201352784,471405382,776606717,0,1122,5,1600
21785968,181786751,405391325,771786372,0,1122,5,1600
19805176,173589130,384391663,762207542,0,1122,5,1600
17607658,134426788,291214079,609405962,0,1122,5,1600
16345944,128116432,290596677,582585663,0,1122,5,1600
18038980,158152918,363703619,645143211,0,1122,5,1600
19246568,154942297,349777885,657393757,0,1122,5,1600
20969495,161758708,370441993,696496122,0,1122,5,1600
20132581,212664197,517107775,729522435,0,1122,5,1600
13703200,180977011,616377286,750182346,0,1122,5,1600
13101043,221763686,697012665,753997143,0,1122,5,1600
20029375,247996867,717587745,801171260,0,1122,5,1600
20420986,237233389,584702483,787337214,0,1122,5,1600
22308802,230320453,521267660,801766742,0,1122,5,1600
20808820,206247396,442567657,785748862,0,1122,5,1600
23224562,176684688,356814820,780126711,0,1122,5,1600
21247337,171704535,361283349,753458828,0,1122,5,1600
18526172,152465127,341378475,668597382,0,1122,5,1600
21992371,134736741,306701550,790485913,0,1122,5,1600
