llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
13420262,108056255,230762098,419713360,0,1122,0,1600
14779659,136640909,303925167,490582239,0,1122,0,1600
17971568,133369496,291665922,567470145,0,1122,0,1600
17672905,133272439,304852561,550946911,0,1122,1,1600
17492526,143694459,319149139,551796296,0,1122,1,1600
20827367,204357871,490823528,701911999,0,1122,1,1600
17554669,134470093,298585760,572784291,0,1122,1,1600
16171493,119245080,276289762,515213894,0,1122,1,1600
17178549,129137086,299154563,564715340,0,1122,1,1600
16556862,133556558,299100096,551490478,0,1122,1,1600
18206223,143491326,320726502,592258131,0,1122,1,1600
21181804,129815239,269726147,595238903,0,1122,1,1600
19264648,132041653,279210192,593162051,0,1122,1,1600
20984421,163418490,357253608,674208265,0,1122,1,1600
19151065,158948567,348588906,646121528,0,1122,2,1600
19462395,158423639,329646679,596273851,0,1122,2,1600
17484311,133948035,316721813,621642124,0,1122,2,1600
19344148,137237304,304686822,649870509,0,1122,2,1600
25929783,175615552,432293791,672157893,0,1122,2,1600
25417914,237270366,481322415,663595092,0,1122,2,1600
17014661,191242791,505017434,693224176,0,1122,2,1600
19083057,210111236,479508258,680664210,0,1122,2,1600
19592749,191454119,441685860,655609427,0,1122,2,1600
20779603,189100228,435401114,657589171,0,1122,2,1600
19750930,184919167,416683706,635836300,0,1122,2,1600
20933124,204511995,451937497,678342196,0,1122,2,1600
18931656,167312154,358357176,634813186,0,1122,2,1600
23450163,182070547,405676858,700157466,0,1122,2,1600
21071552,209762054,453105683,669751747,0,1122,2,1600
16003936,169364964,397931176,643730139,0,1122,2,1600
20802965,195526230,430051594,686557079,0,1122,2,1600
20393485,180466205,395033698,673449277,0,1122,2,1600
20428153,181331636,388723364,687548885,0,1122,2,1600
19183088,186903084,406267973,655559244,0,1122,2,1600
20464978,181011730,384543901,667160829,0,1122,2,1600
24303468,169885591,371834670,662477307,0,1122,2,1600
16432403,179778855,403638395,646841188,0,1122,2,1600
20964824,192245887,427627162,637651380,0,1122,2,1600
16635346,178396111,389742306,588028776,0,1122,2,1600
