llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
22834964,183487583,391892829,696470579,0,1122,0,1600
25232644,214853960,464118353,800223490,0,1122,0,1600
31198345,262112945,579967486,1088928830,0,1122,1,1600
24588179,188084651,413868279,760329660,0,1122,1,1600
34635580,346885825,765292521,1192397873,0,1122,1,1600
37382739,307001953,668706185,1289283288,0,1122,1,1600
21476406,166805232,382912874,705952991,0,1122,1,1600
22667371,174510653,396363249,725085437,0,1122,2,1600
22759191,174831362,388129983,753574655,0,1122,2,1600
24264354,185671632,410189186,765510847,0,1122,2,1600
31392715,210768360,438527980,934783846,0,1122,2,1600
36058992,245854807,514746288,1128309457,0,1122,2,1600
29083690,244997220,526263137,1034619834,0,1122,2,1600
35928756,310606277,669866413,1252633599,0,1122,2,1600
41437268,393797437,852401240,1436223912,0,1122,3,1600
44269278,379346612,828678909,1510627222,0,1122,3,1600
41755933,357197436,775113430,1463325784,0,1122,3,1600
39753690,358459891,771907744,1366111308,0,1122,4,1600
42709633,327684415,726240077,1446136681,0,1122,4,1600
46665921,291943256,631386721,1397905893,0,1122,4,1600
42097579,331925516,726041133,1388343037,0,1122,4,1600
41939823,377519986,822542599,1384291788,0,1122,4,1600
38835620,346713786,778731287,1452136120,0,1122,4,1600
38680945,318529414,715917237,1399355108,0,1122,4,1600
39882302,282339966,596404098,1352492722,0,1122,4,1600
41598392,338310311,728924879,1381623756,0,1122,4,1600
38008564,318475883,684184686,1347621946,0,1122,4,1600
38835157,331321264,709076499,1363153757,0,1122,4,1600
39380626,374504372,823940160,1354652585,0,1122,4,1600
41029924,369663223,795693037,1366118476,0,1122,4,1600
38649895,317833023,697598516,1279011522,0,1122,4,1600
31334639,247485710,535400393,1022634510,0,1122,4,1600
38580558,329162098,711067440,1315460883,0,1122,4,1600
45794909,389546545,842349367,1472067547,0,1122,4,1600
44490011,337380665,734588516,1405985283,0,1122,4,1600
43389383,277067865,634190258,1223333184,0,1122,4,1600
41582045,327064870,711274508,1286113317,0,1122,4,1600
19686076,265995832,981049210,1205058999,0,1122,4,1600
41324709,246925350,546113629,1206252020,0,1122,4,1600
34255492,275799220,672609730,1257094738,0,1122,4,1600
42692694,324814173,774362589,1278420129,0,1122,4,1600
50382115,386126014,906669151,1392267190,0,1122,4,1600
34477727,310591253,686793147,1370309646,0,1122,4,1600
36465258,309524837,699531791,1421575955,0,1122,4,1600
39136844,306328417,669834929,1384822153,0,1122,4,1600
45052347,319950775,731349711,1251776726,0,1122,4,1600
41056727,366988184,773883149,1408178929,0,1122,4,1600
30067308,294425155,690536833,1216334047,0,1122,4,1600
30797204,243961113,575949967,1091048027,0,1122,4,1600
