llc_references,llc_misses,instructions,cycles,gpu_core_util,gpu_core_freq,gpu_emc_util,gpu_emc_freq
22344107,177566860,379673205,683263236,0,1122,2,1600
27020439,229996070,493761861,872253467,0,1122,2,1600
28276603,236057790,527159535,956004102,0,1122,2,1600
24828466,187174725,407356986,776192974,0,1122,2,1600
41757002,397429246,875243039,1387399912,0,1122,2,1600
35202921,291309188,629833514,1202892060,0,1122,2,1600
22545938,176174097,400934450,749466300,0,1122,2,1600
21303415,161608400,371542347,680841362,0,1122,3,1600
24913534,197000402,432813421,835884767,0,1122,3,1600
23503061,178428999,393802783,733427261,0,1122,3,1600
30376597,203322684,425249219,901277560,0,1122,3,1600
36407549,246515302,514914452,1128731301,0,1122,3,1600
29337810,245333915,525187865,1037064733,0,1122,3,1600
36788005,315394075,681001650,1290998714,0,1122,3,1600
43629213,391606298,839597600,1482696367,0,1122,3,1600
41999197,360298844,787273147,1416495319,0,1122,3,1600
40700247,363945502,799146283,1457954379,0,1122,4,1600
39241059,364099911,789115915,1365967432,0,1122,4,1600
41689894,360348620,782640761,1425135621,0,1122,4,1600
44533307,314245986,676407734,1400436003,0,1122,4,1600
41664338,322959714,694349716,1380857702,0,1122,4,1600
40021299,334838609,744676100,1376123051,0,1122,4,1600
38391344,342984844,744932968,1475616503,0,1122,4,1600
40408513,337665180,763822170,1460753428,0,1122,4,1600
34570939,307620467,709077487,1327356369,0,1122,4,1600
39747108,278868713,599394048,1312389915,0,1122,4,1600
46299127,315590111,673165950,1400902020,0,1122,4,1600
36716096,340173841,747186140,1384707055,0,1122,4,1600
41899605,361537763,787137224,1376304931,0,1122,4,1600
44537992,383936416,834017329,1420588213,0,1122,4,1600
42602687,357191495,789866959,1412276904,0,1122,4,1600
32190189,280687258,618605003,1145400790,0,1122,4,1600
34682824,272192997,583369362,1119087775,0,1122,4,1600
42380267,356884506,782722181,1412168636,4,1122,4,1600
47735463,329332493,733479946,1439324533,0,1122,4,1600
39611632,252839899,561580913,1231724977,0,1122,4,1600
43868287,274064900,614341323,1241266982,0,1122,4,1600
46785765,390433781,882615202,1393343142,0,1122,4,1600
29565866,314148479,1042572498,1438851238,0,1122,4,1600
34826983,293750754,705015787,1218146583,0,1122,4,1600
27660791,319115220,914497768,1267545889,0,1122,4,1600
35544755,312662370,720124375,1191782317,0,1122,4,1600
44013076,337993237,780618416,1349825279,0,1122,4,1600
32609955,292278070,626077973,1170466554,0,1122,4,1600
33243045,289008842,607426335,1038701296,0,1122,4,1600
36168149,273366488,604394712,1019980738,0,1122,4,1600
41801057,330910129,705146423,1420295321,0,1122,4,1600
41554654,285609357,615957702,1239237543,0,1122,4,1600
31124176,294933742,685908478,1143195009,0,1122,4,1600
28828328,252072070,592794540,989638478,0,1122,4,1600
33217307,371120259,901599316,1173323785,0,1122,4,1600
31611071,424794485,1092253783,1281517022,0,1122,4,1600
42424955,398199338,910485361,1425696855,0,1122,4,1600
39922464,327313028,688674572,1333389060,0,1122,4,1600
28210246,246599249,541384293,954965217,0,1122,4,1600
27321459,209203130,503042774,904530149,0,1122,4,1600
16651371,276482450,704680119,1030126612,0,1122,4,1600
15892760,242633922,1314675025,1436932802,0,1122,4,1600
37140865,292006406,653380894,1367515602,0,1122,4,1600
44729132,387387410,952620339,1280499214,0,1122,4,1600
35973619,457528824,1057115897,1294389471,0,1122,4,1600
28168395,370080400,992747381,1365851708,0,1122,4,1600
39906988,370831806,826835359,1417266837,0,1122,4,1600
45563334,296092471,645167577,1299446181,0,1122,4,1600
41496670,285623361,660627440,1283950191,0,1122,4,1600
33964011,323123980,722390271,1297209972,0,1122,4,1600
42124316,324771619,722714570,1291407689,0,1122,4,1600
31252187,288728604,642697598,1100739802,0,1122,4,1600
27702641,249407576,596416123,1059663150,0,1122,4,1600
32886723,310854231,732137657,1298602432,0,1122,4,1600
34711968,312832883,813014713,1280569691,0,1122,4,1600
32904495,345915520,811201451,1200332771,0,1122,4,1600
24112516,313600293,1084114580,1341332337,0,1122,4,1600
26522437,379762440,1179947294,1281117355,0,1122,4,1600
39980742,424991438,1001852629,1435445217,0,1122,4,1600
25178082,325319641,1132721516,1400861185,0,1122,4,1600
39001363,344679656,729066216,1387761077,2,1122,4,1600
46561889,300104822,622159784,1225193024,0,1122,4,1600
26524653,218819751,480749553,888223365,0,1122,4,1600
36150583,271224761,617212332,1251315389,0,1122,4,1600
35752887,259303455,550446871,1251320506,2,1122,4,1600
43393813,296338810,690521682,1369288698,0,1122,4,1600
53201280,453078125,970891861,1354267515,2,1122,4,1600
30757571,284388812,693937408,1212536913,0,1122,4,1600
30038953,316288619,720628173,1123877508,0,1122,4,1600
29775656,225432001,498571940,881690108,0,1122,4,1600
29798866,224718450,493684445,903386212,0,1122,4,1600
21341736,165364259,370663118,632073733,0,1122,4,1600
23119614,169405996,375526665,703118597,0,1122,4,1600
30607534,268895681,597900973,1135631331,0,1122,4,1600
21420857,160390625,351555889,663829722,0,1122,4,1600
26506104,235778109,505128511,795013002,0,1122,4,1600
41653572,315565919,671879326,1334779138,0,1122,4,1600
25314376,202902587,465585593,832897121,0,1122,4,1600
26638810,208153825,452787945,883524201,0,1122,4,1600
24373183,236270903,531682839,931722018,0,1122,3,1600
13127822,100018046,233705714,435350713,0,1122,3,1600
16435224,122732281,283625456,536372024,0,1122,3,1600
31523684,264760250,576995842,1034874160,0,1122,3,1600
21285509,212200164,550210480,861195503,0,1122,3,1600
19422046,164910891,366095362,650493746,0,1122,3,1600
37291627,300061386,645460074,1276268152,0,1122,3,1600
19508516,162245144,378590990,672563472,0,1122,3,1600
20506677,174478796,394211874,727170470,0,1122,3,1600
33334324,257155452,567114458,1285109557,0,1122,3,1600
29267066,214385792,469898683,1052403614,0,1122,3,1600
36311913,244859803,571500910,1214678323,0,1122,3,1600
39746739,344177405,724725918,1201258262,0,1122,3,1600
22910864,232092175,568120261,974337440,0,1122,3,1600
16224252,164863024,395141208,636149758,0,1122,3,1600
14267606,137243103,336235235,489344505,0,1122,3,1600
17900646,116575444,267526263,517630522,0,1122,3,1600
23075564,147070703,321910955,685873319,0,1122,3,1600
23884296,160227974,349511719,745981177,0,1122,3,1600
33368333,248259638,585339163,1044586778,0,1122,3,1600
19981456,149151845,342383832,632884940,0,1122,3,1600
25078115,149405979,323851840,738329762,0,1122,3,1600
34087822,190516621,417986471,857151372,0,1122,3,1600
42327189,248887741,541361566,1221905890,0,1122,3,1600
36173328,215371498,464028706,1135632045,0,1122,3,1600
34983004,235912292,498796872,1162158424,0,1122,4,1600
41745412,263983118,564631632,1348462169,0,1122,4,1600
48837125,302611088,638969135,1460077827,0,1122,4,1600
36278689,251395138,572451308,1216288920,0,1122,4,1600
14989482,116090106,280300077,516238071,0,1122,4,1600
14686171,118046319,289155394,512521862,0,1122,4,1600
17514592,149322991,348217655,614407894,0,1122,4,1600
16128526,134091243,317219516,570513840,0,1122,4,1600
34888126,282930510,605124213,1261952397,0,1122,4,1600
31215154,230806548,550274995,1113560313,0,1122,4,1600
29245872,182713632,417496611,1002219291,0,1122,4,1600
22467057,168825156,370325775,890340975,0,1122,4,1600
24244615,168783493,402973971,812137220,0,1122,4,1600
42880780,332946874,689180091,1209592812,4,1122,4,1600
25584833,252432082,594155727,1088627848,0,1122,4,1600
30131966,247236216,568306928,1140454489,0,1122,4,1600
28637292,289639464,652352749,1178224446,0,1122,4,1600
33975657,295630186,656245620,1298711212,0,1122,4,1600
41199480,325720824,699668935,1146575264,0,1122,4,1600
27864181,257859398,592992604,1137931174,0,1122,4,1600
27315169,225344868,508264080,933771734,0,1122,4,1600
17729496,117493349,276080566,590968151,0,1122,4,1600
32715467,261359740,572350296,1086461656,0,1122,4,1600
32798349,258703421,552603871,1127228720,0,1122,4,1600
31274731,223189952,478102080,1073858062,0,1122,4,1600
24767505,214071499,476871719,924720355,0,1122,4,1600
37629820,261756504,573674903,1376536385,0,1122,4,1600
36002760,345748541,823501482,1364382976,0,1122,4,1600
51078132,353856813,770948221,1271476863,0,1122,4,1600
25469081,329973355,743729481,1108831205,0,1122,4,1600
24471219,267823383,618399554,950148444,0,1122,4,1600
15438030,169089986,396228629,609989274,0,1122,4,1600
30221545,303863759,650195358,1150859785,0,1122,4,1600
13969062,178797974,706776152,909736251,0,1122,4,1600
35313799,279075910,613313922,1298934027,0,1122,4,1600
29400152,205136143,438948534,921727465,0,1122,4,1600
29765636,271127484,597791107,929378109,5,1122,4,1600
24628077,219287391,467488772,804174309,0,1122,4,1600
34554903,230948026,494938237,1103089155,0,1122,4,1600
24414613,160583580,354886577,756241020,0,1122,4,1600
42868500,278438895,588488425,1376760063,0,1122,4,1600
37149259,295440050,633720551,1291629451,0,1122,4,1600
39835669,430729853,958839834,1298205439,0,1122,4,1600
42818890,345449422,776210448,1304542918,0,1122,4,1600
49119568,262152289,586660394,1449467237,0,1122,4,1600
51715226,261126826,549363528,1404040054,0,1122,4,1600
44379304,282266554,609081690,1386567982,0,1122,4,1600
37804776,260016569,586114759,1278315851,0,1122,4,1600
39700621,346624335,787202084,1348720220,0,1122,4,1600
43151788,304212758,680845849,1367298770,0,1122,4,1600
38317685,311458036,686188097,1497520332,0,1122,6,1600
44092998,397266353,890779365,1326803598,0,1122,6,1600
37553325,389394526,879285662,1271264464,0,1122,6,1600
39850190,305670458,688258999,1269653302,0,1122,6,1600
43685907,312356518,685514677,1470075273,0,1122,6,1600
45568095,357686521,794386715,1554976426,0,1122,6,1600
41451035,284577908,627367508,1354688717,2,1122,6,1600
40622016,246314347,534739441,1231314859,0,1122,6,1600
42402596,321434942,675172107,1361894547,0,1122,6,1600
36535507,384126615,885943836,1299881728,0,1122,6,1600
39323793,276207770,622946422,1402256571,2,1122,6,1600
37866629,245794126,556256025,1371912062,0,1122,6,1600
41796750,313586220,703486414,1481384346,2,1122,7,1600
31724971,314251709,721431003,1340449282,0,1122,7,1600
31184888,315479929,734395382,1169596515,0,1122,7,1600
34881490,282257079,683990827,1401426247,0,1122,7,1600
37985165,285788869,652036400,1351861972,0,1122,7,1600
46325565,345695244,804059075,1525998533,0,1122,6,1600
47718313,315096126,686436690,1477149119,0,1122,7,1600
41493981,321886201,730566859,1425887332,0,1122,7,1600
24848919,296555364,656124057,947848454,0,1122,6,1600
24613501,194333909,434101145,808881557,0,1122,6,1600
32552328,208253106,464656985,969451584,0,1122,6,1600
39156945,270192147,594249909,1270657396,99,1122,6,1600
44199912,323028142,710013966,1538266304,0,1122,7,1600
38655417,297196938,656102687,1305300528,0,1122,7,1600
