r016,r013,instructions,cycles,gr3d,gr3d_freq,emc,emc_freq
25228456,194893070,416885138,575700161,0,1300,0,1866
32064223,265182478,573390372,749555263,0,1300,0,1866
33145523,261108627,586859804,773516593,0,1300,0,1866
39086407,313894725,693908959,875680185,0,1300,0,1866
50897476,425766590,957734249,1169692521,0,1300,0,1866
30424294,240449343,546469992,702232601,0,1300,0,1866
29535979,211650259,481749867,644942747,0,1300,0,1866
30832460,244776987,541595676,712653882,0,1300,0,1866
41389466,284141183,597209927,873732364,0,1300,0,1866
44796053,313151646,664052899,949574854,0,1300,0,1866
44899199,352825567,753486158,1009304109,0,1300,0,1866
45753016,470049973,1011913088,1193396840,0,1300,0,1866
54230790,462082135,1001966669,1275254301,0,1300,0,1866
53407992,463785899,1016627023,1255402097,0,1300,0,1866
51199832,437378171,945678239,1209149539,0,1300,0,1866
56276122,418251088,914812964,1205821661,0,1300,0,1866
59175316,413470820,918075662,1224406444,0,1300,0,1866
55339314,446470681,989760385,1268991946,0,1300,1,1866
58707224,443206901,958596819,1220755375,0,1300,1,1866
48192944,413332902,943964030,1154318249,0,1300,1,1866
48058049,455397600,1005219703,1190369379,0,1300,1,1866
49917493,455296086,980013881,1204757900,0,1300,1,1866
47510658,409077062,901310159,1137536459,0,1300,1,1866
45901928,378681722,837731736,1067156902,0,1300,1,1866
51722724,334305149,736776694,1082275035,0,1300,1,1866
50504663,381061168,846781744,1146531130,0,1300,1,1866
65786828,388702385,841938569,1152921746,0,1300,1,1866
48407087,433700427,929247031,1059052971,0,1300,1,1866
31910400,400649108,967313275,1020978758,0,1300,1,1866
13950824,206063192,840858715,826901655,0,1300,1,1866
38107512,321139871,716878808,885232111,0,1300,1,1866
27483746,268116788,664334899,696114787,0,1300,1,1866
47472400,344539744,778706795,997641474,0,1300,0,1866
28125636,222278576,468986968,632311583,0,1300,0,1866
45391561,355264458,761892989,1009488160,0,1300,0,1866
50624088,383251822,856134680,1107102694,0,1300,0,1866
50230151,372107543,829123348,1119033511,0,1300,0,1866
