r016,r013,instructions,cycles,gr3d,gr3d_freq,emc,emc_freq
120025192,1003076746,2234595076,3687354635,0,1300,0,1866
116519513,906009849,2022344063,3605744469,0,1300,1,1866
133776878,1068274556,2310192522,4134870405,0,1300,1,1866
125155285,1117164814,2469273921,4015966612,0,1300,2,1866
121821039,1094554645,2400127199,3967548623,0,1300,2,1866
125127384,1104498238,2449597127,4001292875,0,1300,2,1866
134381705,1026669028,2250058331,4073890932,0,1300,2,1866
107199518,1056490234,2710811934,3826391014,0,1300,2,1866
132113906,1064211206,2493114407,4098764982,0,1300,2,1866
123682961,1072475309,2464348989,3937563806,0,1300,2,1866
121190874,1251482921,3280288712,4043159777,0,1300,2,1866
92182318,1033594585,2817420419,3863679655,0,1300,2,1866
122217445,1251412014,3054516238,4093590779,0,1300,2,1866
118255227,1049511405,2375035406,3583864618,0,1300,2,1866
108883667,1166445992,3181235572,3942104048,0,1300,2,1866
117844944,1114831359,2751114703,3876563460,0,1300,2,1866
139377780,1067221027,2381965402,4024244715,0,1300,2,1866
119793306,1088591403,2455577979,4009453248,0,1300,2,1866
115210681,954105720,2099447831,3592672662,0,1300,2,1866
114266775,910355762,2035412745,3622007376,0,1300,2,1866
102584061,879870695,2026676029,3392236443,0,1300,2,1866
97632540,852517289,1940126231,3305627372,0,1300,2,1866
122104384,944221822,2164449394,3916949087,0,1300,2,1866
126885572,831398772,1916848138,3997836471,0,1300,2,1866
140213654,955617949,2157361870,4041158471,0,1300,2,1866
144770037,865238873,1889410000,3991002532,0,1300,2,1866
117809115,885440369,2041044889,3856201727,0,1300,2,1866
108863319,800523347,1830532354,3485094861,0,1300,2,1866
105429624,1016664960,2582647249,3970844956,0,1300,2,1866
122636674,963751636,2183305552,3906473178,0,1300,2,1866
116349621,922724784,2047883409,3932800177,0,1300,2,1866
96736772,1035524263,2349129626,3456400478,0,1300,2,1866
108300796,958516517,2390553972,3963318620,0,1300,2,1866
126640615,974813585,2181968594,3852904333,0,1300,2,1866
135076920,1158879489,2680746400,4008536979,0,1300,2,1866
141503000,942668849,2123702916,4064006953,0,1300,2,1866
128445247,1111639370,2508168941,3987772200,0,1300,2,1866
134977623,984894536,2194564210,3990125840,0,1300,2,1866
136212930,1030927724,2306499775,3997966846,0,1300,3,1866
134346677,1070053657,2487613726,4077426423,0,1300,3,1866
136576465,910041251,2075010126,3990158625,0,1300,3,1866
128645089,982885519,2265630696,3996282158,0,1300,3,1866
131487198,959808590,2191439161,3758893732,0,1300,3,1866
125982758,974692833,2234275477,3771195673,0,1300,3,1866
127261959,991344728,2247117755,3957204450,0,1300,4,1866
122074439,938474866,2135956985,3795337833,0,1300,4,1866
113116483,1096752112,2608727629,3790116771,0,1300,4,1866
121572206,1001273235,2280997389,3800118867,5,1300,4,1866
122250207,1023395943,2401874510,3953258539,32,1300,4,1866
38084130,360049287,854643572,1345401843,0,1300,5,1866
