r016,r013,instructions,cycles,gr3d,gr3d_freq,emc,emc_freq
25520227,193267398,413186563,575787556,0,1300,1,1866
33094708,273697093,590976774,777893790,0,1300,1,1866
33972217,264252713,594901205,791150636,0,1300,0,1866
37389238,302617179,669112513,841325267,0,1300,0,1866
44469262,377743963,844042725,1040263848,0,1300,0,1866
30792934,249486510,570954226,724240777,0,1300,0,1866
30678584,219820781,497162209,674331375,0,1300,0,1866
29280443,230014603,511008307,673523518,0,1300,0,1866
37685057,260967394,553458323,804658555,0,1300,0,1866
37971314,243408804,510702344,766526271,0,1300,0,1866
45994168,359316578,768625401,1037538612,0,1300,0,1866
42695579,427513724,930222888,1096630876,0,1300,0,1866
49030778,425377587,910804871,1168334300,0,1300,0,1866
50201424,425766664,911848196,1181377660,0,1300,0,1866
45740275,418279164,914092555,1125099297,0,1300,0,1866
50413293,387879361,835999602,1144817585,0,1300,0,1866
52563146,407301698,876192399,1166248220,0,1300,1,1866
57950317,431703034,966232596,1253604063,0,1300,1,1866
57219803,439174359,933729923,1279622360,0,1300,1,1866
56976826,436947876,957256823,1195251883,0,1300,1,1866
51745854,432981601,981423854,1224203977,0,1300,1,1866
52429006,429725743,935263852,1205745034,0,1300,1,1866
54961765,430215414,920083449,1192048172,0,1300,1,1866
50428687,426361266,958362608,1209715059,0,1300,1,1866
46253809,351657544,758514636,1027833390,0,1300,1,1866
51461546,421461384,911729567,1206448674,0,1300,1,1866
52464390,408666218,956094349,1100324167,0,1300,1,1866
58088883,348444454,758643422,1107132187,0,1300,1,1866
63589831,344623764,766897576,1057520713,0,1300,1,1866
34808693,402191060,1135366734,1226381510,0,1300,1,1866
42358248,338399413,882081490,1041103931,0,1300,1,1866
35802084,379926286,941828660,955372447,0,1300,1,1866
51869325,394570645,987263264,1160410828,0,1300,1,1866
51668813,366714782,823090912,1107207341,0,1300,1,1866
55642217,389748920,827477131,1125499125,0,1300,1,1866
51265133,427454716,919190071,1161916916,0,1300,1,1866
43762605,385714319,901734901,1056144651,0,1300,1,1866
39795237,346489709,758929339,959209983,0,1300,1,1866
25635607,235784068,561772033,637082569,0,1300,1,1866
33414070,322427363,758694232,844048821,0,1300,0,1866
38209855,436157290,1082303951,1041684623,0,1300,0,1866
40929051,465232672,1127000329,1117764024,0,1300,0,1866
51484107,437203329,970302710,1201052468,0,1300,0,1866
48194283,401204355,844155747,1125547343,0,1300,0,1866
41760278,313126751,736639791,940098852,0,1300,0,1866
37789327,425204160,955229020,1137156253,0,1300,0,1866
27127859,318735533,1165385963,1146504555,0,1300,0,1866
61156561,488627942,1067055631,1166883530,0,1300,0,1866
30202480,457807200,1265507442,1056358179,0,1300,0,1866
46965168,458218136,1097695384,1161373355,0,1300,0,1866
53424903,441986232,943628480,1253425876,0,1300,0,1866
60480676,362485515,779535766,1148633968,0,1300,0,1866
60282196,368647932,862717899,1097288377,0,1300,0,1866
53132727,382207270,844191101,1115178755,0,1300,0,1866
43540803,278290712,589526624,854610830,0,1300,0,1866
42412625,309159665,727890419,898089485,0,1300,0,1866
42387637,394761786,896747059,1043896017,0,1300,0,1866
42140370,373301346,911422508,1051064089,0,1300,0,1866
37303688,410919879,1198864829,1222385538,0,1300,0,1866
40254246,478838092,1218917498,1106667451,0,1300,0,1866
25580469,349169499,1265179497,1209132300,0,1300,0,1866
46740494,458114905,1110357501,1209150453,0,1300,0,1866
48350168,411373705,876940678,1144744733,0,1300,0,1866
35447503,297347075,639858457,834284101,0,1300,0,1866
44223453,327861284,711147726,981007170,0,1300,0,1866
49670016,332574234,753728936,1029708867,0,1300,0,1866
61223243,371028343,868179271,1140763353,0,1300,0,1866
49432749,479590080,1038417624,1146938054,0,1300,0,1866
39280947,431153064,1031436953,1067355715,0,1300,0,1866
29789024,301854495,665819452,786239992,0,1300,0,1866
28906999,222425957,479486671,650268124,0,1300,0,1866
41775527,311923418,682586764,914237625,0,1300,0,1866
28701817,209754224,467102489,622806504,0,1300,0,1866
24305164,179514816,412765161,533820040,0,1300,0,1866
21004230,156780220,349189830,479045374,0,1300,0,1866
27340363,232569530,506345862,645621031,0,1300,0,1866
41538439,308033019,658248761,885843178,0,1300,0,1866
36800770,270129327,600182611,805594920,0,1300,0,1866
24998327,163612284,367778443,542938109,0,1300,0,1866
32759358,296615138,660364110,820923869,0,1300,0,1866
18385445,131819678,308416019,417434170,0,1300,0,1866
31053150,235826734,528032102,698399888,0,1300,0,1866
24405058,210642516,544238521,659369004,0,1300,0,1866
25244303,214186179,480588790,610759784,0,1300,0,1866
45250766,353035659,771555139,1037487602,0,1300,0,1866
17168415,137278040,337189106,417453596,0,1300,0,1866
41808051,289855773,653272427,929882387,0,1300,0,1866
42845104,329261777,736147393,1006043694,0,1300,0,1866
48917719,319704962,671275936,921912827,0,1300,0,1866
47011743,363233236,794788827,1060455091,0,1300,0,1866
35268617,298826816,717837870,863014078,0,1300,0,1866
37260001,252581930,584729528,707877259,0,1300,0,1866
33226919,342512660,793762390,890144227,0,1300,0,1866
21495238,219343798,548999077,569534985,0,1300,0,1866
26215268,156714367,351974951,510550682,0,1300,0,1866
43006778,239620067,509118086,798570784,0,1300,0,1866
28182836,209113144,482627395,627368390,0,1300,0,1866
33923248,197662024,437702021,649550920,0,1300,0,1866
50481638,302293490,653536041,968827111,0,1300,0,1866
38903272,231165785,504366173,776100454,0,1300,0,1866
40306672,220361135,503024844,790046058,0,1300,0,1866
64358250,371836275,789294792,1259128638,0,1300,0,1866
60511787,354544416,751043516,1190079090,0,1300,0,1866
36482549,273938675,636293406,799079175,0,1300,0,1866
28381587,256048339,602340250,726796633,0,1300,0,1866
37052551,297318866,661421631,861308315,0,1300,0,1866
26925223,211887480,504256811,641252670,0,1300,0,1866
51192468,315549653,679208541,1043019592,0,1300,0,1866
27272764,178434719,409503386,588332147,0,1300,0,1866
23272534,197359274,455728065,569894263,0,1300,0,1866
26815207,213709809,484497858,634608137,0,1300,0,1866
21793630,182399966,420403867,538721924,0,1300,0,1866
32540737,318631395,722363460,866308576,0,1300,0,1866
36907587,302446998,688233525,852057730,0,1300,0,1866
35642886,294369592,647633239,837232488,0,1300,0,1866
44626447,264850284,592681287,893109290,0,1300,0,1866
52594352,248378399,538860984,914941684,0,1300,0,1866
44760912,330409727,735688828,989192822,0,1300,0,1866
42364062,317865815,692925460,956554606,0,1300,0,1866
59872832,389352544,868764874,1136970416,0,1300,0,1866
41793091,293953198,648273530,907417895,0,1300,0,1866
25057420,273664960,887963841,967736064,0,1300,0,1866
32503481,205488846,520319110,740801137,0,1300,0,1866
46895115,341005022,736412506,1047611623,0,1300,0,1866
51337635,398308965,864851486,1167687259,0,1300,0,1866
30730806,229740581,508202922,669348434,0,1300,0,1866
47814487,384182453,834862493,1123609500,0,1300,0,1866
52713363,344388960,761440205,1093071131,0,1300,0,1866
52171136,347053836,752692909,1100943163,0,1300,1,1866
64093540,402201693,887197405,1245799818,0,1300,1,1866
56658114,461775062,1042604561,1271954610,0,1300,1,1866
57506111,399203461,869004892,1238367415,0,1300,1,1866
54683970,351313121,762763467,1145764288,0,1300,1,1866
56626276,375392859,804348243,1193025663,0,1300,1,1866
52858782,364168636,808030992,1147469930,0,1300,1,1866
53980323,344066277,766399209,1096090002,0,1300,1,1866
43483016,323640083,732000638,949180958,0,1300,1,1866
58815756,358145479,778810175,1202282033,0,1300,1,1866
61970651,355512685,770472211,1114810327,0,1300,1,1866
30038193,282298868,612013838,751434089,0,1300,1,1866
4347533,53567558,133919108,140781967,0,1300,0,1866
