r016,r013,instructions,cycles,gr3d,gr3d_freq,emc,emc_freq
143452097,1219582986,2707784595,4576837011,0,1300,0,1866
129078050,986497994,2177871577,4079078686,0,1300,1,1866
180854190,1520304897,3271501489,5977346132,0,1300,1,1866
217156940,1860394630,4035521722,7333405194,0,1300,3,1866
219305402,1773382535,3890375452,7133974083,0,1300,3,1866
193731689,1607304180,3476343465,6278292402,0,1300,4,1866
204458905,1570497372,3524022725,6493514773,0,1300,4,1866
145891810,1385210044,3530849178,5217940314,0,1300,4,1866
193862727,1388189445,3075771689,5821895716,0,1300,3,1866
184413752,1974814556,4813759873,6693857658,0,1300,3,1866
143219488,1526053138,3885069004,5741011023,0,1300,3,1866
204290220,1859059138,4276363872,6626466414,0,1300,3,1866
170467217,1459965500,3359375538,5736790081,0,1300,3,1866
148930487,1766453258,5385949989,6669476029,0,1300,3,1866
199995466,1432443875,3084454531,6084108584,0,1300,3,1866
181282643,1619060102,3643649298,5861581311,0,1300,3,1866
125756030,978119098,2173891184,3848459694,0,1300,3,1866
146150645,1200882255,2621495619,4631709469,0,1300,3,1866
96620486,831614919,1936835994,3257054616,0,1300,3,1866
132930660,1108308832,2455868258,4624913346,0,1300,2,1866
135555149,1313017106,2933476359,4601328040,0,1300,2,1866
250785095,1329094503,3105724221,5737394199,0,1300,3,1866
153630234,1241748642,2836447555,5176088675,0,1300,3,1866
133066886,931012545,2048004594,4020902132,0,1300,3,1866
194745166,1288300120,2858995381,5664874750,0,1300,3,1866
272938535,1672670929,3777481194,6909183501,0,1300,3,1866
92329876,760485829,1736800542,3030040776,0,1300,3,1866
