r016,r013,instructions,cycles,gr3d,gr3d_freq,emc,emc_freq
118023650,966675970,2123918717,3533514526,0,1300,2,1866
113499349,915021094,2051173916,3550005089,0,1300,2,1866
124896212,932425869,1996313346,3679981006,0,1300,2,1866
130531360,1161462926,2545348112,3983113540,0,1300,2,1866
130136280,1092386018,2390537882,3971106876,0,1300,2,1866
135777237,1057567981,2343409870,3984159079,0,1300,2,1866
131001584,1107673293,2451208974,3930496965,0,1300,2,1866
135076711,1104769645,2461644525,3934058466,0,1300,2,1866
106515769,1082991761,2853999290,3767363644,0,1300,2,1866
138239397,1106497039,2424822070,3859969128,0,1300,2,1866
125108299,1100437436,2639988627,3871046535,0,1300,2,1866
116455938,1168599507,2984485774,3979061298,0,1300,2,1866
100876304,1060645527,2888369359,3887719306,0,1300,2,1866
112525479,1272084533,3254434685,4013763086,0,1300,2,1866
246215181,1167735168,2674862125,3985472851,0,1300,2,1866
302440221,1202941602,2760198004,4011940757,0,1300,1,1866
289432109,1302818469,3393777891,4020692237,0,1300,1,1866
285759178,1238874034,3411374604,4029367710,0,1300,1,1866
121104426,1090852070,2424763622,3968468804,0,1300,1,1866
140145585,1150429976,2619196056,4008766943,0,1300,1,1866
129447972,1057549938,2328011331,4012432752,0,1300,1,1866
109347237,936820165,2109689524,3625651980,0,1300,1,1866
120785893,981473035,2155101550,3649884945,0,1300,2,1866
90623816,780832831,1829879104,3010344630,0,1300,2,1866
104488111,846212233,1909228760,3408031700,0,1300,2,1866
115692712,1264403642,3147878350,3987786155,0,1300,2,1866
128975314,918135330,2013842353,3982491489,0,1300,2,1866
142127438,1081980302,2601553053,3934818657,0,1300,2,1866
92871889,855679251,2018624513,3215821727,0,1300,2,1866
121425318,837419007,1853981706,3464023831,0,1300,2,1866
133188848,960611515,2208750423,3718776802,0,1300,2,1866
149809493,1077400736,2580856197,3850509840,0,1300,2,1866
69571647,596060591,1436227131,2176155258,0,1300,2,1866
