r016,r013,instructions,cycles,gr3d,gr3d_freq,emc,emc_freq
120079413,1016494951,2264487563,3732287650,0,1300,0,1866
111982691,885525402,1976064237,3611268584,0,1300,1,1866
134207228,1021454831,2197910519,4074815678,0,1300,1,1866
125569669,1141569034,2553193974,3988891866,0,1300,2,1866
123790627,1133302201,2538302915,4029339507,0,1300,2,1866
124666102,1037500692,2318231154,4024031546,0,1300,2,1866
127019085,1089824340,2406901944,4011316681,0,1300,2,1866
107061058,1089858108,2786800624,3885783881,0,1300,2,1866
124205169,1044971083,2454628383,3742396436,0,1300,2,1866
128293132,1120208851,2526642570,3920448014,0,1300,2,1866
114752641,1248400087,3312514581,4034630243,0,1300,2,1866
93918284,1073487824,2898070513,3885282706,0,1300,2,1866
117670187,1239114908,2989883609,4021104293,0,1300,2,1866
119368556,1048415184,2430979751,3679847334,0,1300,2,1866
104887394,1228463918,3431614340,3994975092,0,1300,2,1866
115533853,1194684537,3168145282,4083615901,0,1300,2,1866
138386276,1055780010,2427918772,4002729235,0,1300,2,1866
124451587,1136270972,2564269497,4106421157,0,1300,2,1866
122974174,981935038,2186753041,3996034745,0,1300,2,1866
119716348,964460117,2111425872,3679215613,0,1300,2,1866
106475351,858015254,1932510916,3429316533,0,1300,2,1866
97030683,842156300,1968858111,3333328538,0,1300,2,1866
98949037,1019550610,2322654917,3475945811,0,1300,2,1866
111825338,750183523,1661875836,3595024193,0,1300,2,1866
202559931,955197956,2337298536,3951799533,0,1300,2,1866
106669773,956448659,2272675395,3882706863,0,1300,2,1866
129858067,929038241,2065328862,4064646346,0,1300,2,1866
146378011,881685543,1952241788,4008418752,0,1300,2,1866
201150103,903073720,2117379316,3817343848,0,1300,2,1866
141271343,955826312,2221352748,3659830785,0,1300,2,1866
62325252,513741058,1241121928,2016548811,0,1300,1,1866
